order_date,order_month,order_year,release_date,brand,sneaker_name,shoe_size,sale_price,retail_price,profit,buyer_region
2017-09-01,September,2017,2016-09-24, Yeezy,Adidas Yeezy Boost 350 Low V2 Beluga,11.0,1097.0,220.0,877.0,California
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,9.5,586.0,220.0,366.0,Oregon
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,9.0,546.0,220.0,326.0,Florida
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,5.5,850.0,220.0,630.0,Michigan
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,9.0,589.0,220.0,369.0,New York
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,10.0,610.0,220.0,390.0,New Jersey
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,11.0,650.0,220.0,430.0,North Carolina
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,11.0,658.0,220.0,438.0,California
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,8.0,525.0,220.0,305.0,New York
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,14.0,570.0,220.0,350.0,Michigan
2017-09-01,September,2017,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,9.0,460.0,220.0,240.0,Florida
2017-09-01,September,2017,2017-02-25, Yeezy,Adidas Yeezy Boost 350 V2 Zebra,14.0,640.0,220.0,420.0,California
2017-09-01,September,2017,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,11.5,515.0,220.0,295.0,New Jersey
2017-09-01,September,2017,2016-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Copper,11.0,685.0,220.0,465.0,California
2017-09-01,September,2017,2017-04-29, Yeezy,Adidas Yeezy Boost 350 V2 Cream White,10.0,473.0,220.0,253.0,Texas
2017-09-01,September,2017,2016-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red,11.5,1075.0,220.0,855.0,Kentucky
2017-09-01,September,2017,2017-02-11, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Red 2017,11.0,828.0,220.0,608.0,Rhode Island
2017-09-01,September,2017,2016-11-23, Yeezy,Adidas Yeezy Boost 350 V2 Core Black Green,11.0,690.0,220.0,470.0,California
